Time Serie,,,EU/US,EU change %,EU c change %,,,UK/US,UK change %,UK c change %,,,INDIA/US,INDIAchange %,INDIA c change %,,,SRLNK/US,SRLNK change %,SRLNK c change %
1/3/00,,,0.9847,,,,,0.6146,,,,,43.55,,,,,72.3,,
1/4/00,,,0.97,-1.49%,-1.49%,,,0.6109,-0.60%,-0.60%,,,43.55,0.00%,0.00%,,,72.65,0.48%,0.48%
1/5/00,,,0.9676,-0.25%,-1.74%,,,0.6092,-0.28%,-0.88%,,,43.55,0.00%,0.00%,,,72.95,0.41%,0.90%
1/6/00,,,0.9686,0.10%,-1.64%,,,0.607,-0.36%,-1.24%,,,43.55,0.00%,0.00%,,,72.95,0.00%,0.90%
1/7/00,,,0.9714,0.29%,-1.35%,,,0.6104,0.56%,-0.68%,,,43.55,0.00%,0.00%,,,73.15,0.27%,1.17%
1/10/00,,,0.9754,0.41%,-0.94%,,,0.6107,0.05%,-0.63%,,,43.55,0.00%,0.00%,,,73.3,0.21%,1.38%
1/11/00,,,0.9688,-0.68%,-1.61%,,,0.6068,-0.64%,-1.27%,,,43.6,0.12%,0.12%,,,73.35,0.07%,1.44%
1/12/00,,,0.9727,0.40%,-1.21%,,,0.6073,0.08%,-1.19%,,,43.6,0.00%,0.12%,,,73.35,0.00%,1.44%
1/13/00,,,0.9737,0.10%,-1.11%,,,0.6067,-0.10%,-1.29%,,,43.55,-0.12%,0.00%,,,73.35,0.00%,1.44%
1/14/00,,,0.9874,1.41%,0.30%,,,0.6115,0.79%,-0.50%,,,43.55,0.00%,0.00%,,,73.35,0.00%,1.44%
1/18/00,,,0.988,0.06%,0.36%,,,0.6105,-0.16%,-0.66%,,,43.6,0.12%,0.12%,,,72.85,-0.68%,0.76%
1/19/00,,,0.9886,0.06%,0.42%,,,0.6083,-0.36%,-1.02%,,,43.6,0.00%,0.12%,,,73.2,0.48%,1.24%
1/20/00,,,0.9869,-0.17%,0.25%,,,0.6047,-0.59%,-1.61%,,,43.6,0.00%,0.12%,,,72.95,-0.34%,0.90%
1/21/00,,,0.9901,0.32%,0.57%,,,0.6059,0.20%,-1.41%,,,43.6,0.00%,0.12%,,,73.3,0.48%,1.38%
1/24/00,,,0.9981,0.81%,1.38%,,,0.6053,-0.10%,-1.51%,,,43.62,0.05%,0.16%,,,72.95,-0.48%,0.90%
1/25/00,,,0.9959,-0.22%,1.16%,,,0.6067,0.23%,-1.28%,,,43.59,-0.07%,0.09%,,,73.45,0.69%,1.59%
1/26/00,,,0.9989,0.30%,1.46%,,,0.6099,0.53%,-0.75%,,,43.65,0.14%,0.23%,,,73.4,-0.07%,1.52%
1/27/00,,,1.0111,1.22%,2.68%,,,0.6111,0.20%,-0.56%,,,43.63,-0.05%,0.18%,,,73.45,0.07%,1.59%
1/28/00,,,1.0241,1.29%,3.97%,,,0.6169,0.95%,0.39%,,,43.65,0.05%,0.23%,,,73.05,-0.54%,1.05%
1/31/00,,,1.0249,0.08%,4.05%,,,0.618,0.18%,0.57%,,,43.65,0.00%,0.23%,,,73.5,0.62%,1.66%
2/1/00,,,1.0276,0.26%,4.31%,,,0.6192,0.19%,0.77%,,,43.62,-0.07%,0.16%,,,73.55,0.07%,1.73%
2/2/00,,,1.0238,-0.37%,3.94%,,,0.6227,0.57%,1.33%,,,43.65,0.07%,0.23%,,,73.25,-0.41%,1.32%
2/3/00,,,1.0114,-1.21%,2.73%,,,0.624,0.21%,1.54%,,,43.65,0.00%,0.23%,,,73.55,0.41%,1.73%
2/4/00,,,1.0246,1.31%,4.04%,,,0.6283,0.69%,2.23%,,,43.65,0.00%,0.23%,,,73.55,0.00%,1.73%
2/7/00,,,1.0222,-0.23%,3.80%,,,0.6283,0.00%,2.23%,,,43.64,-0.02%,0.21%,,,73.5,-0.07%,1.66%
2/8/00,,,1.014,-0.80%,3.00%,,,0.6209,-1.18%,1.05%,,,43.63,-0.02%,0.18%,,,73.6,0.14%,1.80%
2/9/00,,,1.0087,-0.52%,2.48%,,,0.6205,-0.06%,0.99%,,,43.65,0.05%,0.23%,,,73.6,0.00%,1.80%
2/10/00,,,1.0137,0.50%,2.97%,,,0.6228,0.37%,1.36%,,,43.58,-0.16%,0.07%,,,72.82,-1.06%,0.74%
2/11/00,,,1.0155,0.18%,3.15%,,,0.628,0.83%,2.19%,,,43.65,0.16%,0.23%,,,73.6,1.07%,1.81%
